text,mood
bored out of my mind,bored
just scrolling mindlessly,bored
same thing every day,bored
everything's so dull,bored
need some excitement,bored
this is putting me to sleep,bored
dying of boredom,bored
when will this end,bored
barely slept last night,tired
I'm exhausted,tired
need a nap right now,tired
I need rest so bad,tired
work drained me,tired
so sleepy,tired
completely worn out,tired
no energy left,tired
I'm so tired,tired
tired of explaining,tired
can you not,irritated
that's so irritating,irritated
why can't people listen,irritated
this noise is killing me,irritated
need some space,irritated
seriously stop,irritated
getting under my skin,irritated
this is so irritating,irritated
everything's bothering me,irritated
easily annoyed today,irritated
what just happened,confused
I don't get it,confused
wait what's the point,confused
now I'm lost,confused
thought I understood but nope,confused
can someone explain again,confused
this makes no sense,confused
I'm puzzled,confused
my brain's scrambled,confused
no idea what's going on,confused
things will get better,hopeful
new day new chance,hopeful
trying to stay positive,hopeful
trusting the process,hopeful
there's light ahead,hopeful
keeping the faith,hopeful
tomorrow will be better,hopeful
believe in good outcomes,hopeful
things are looking up,hopeful
staying optimistic,hopeful
it's killing me,stressed
need a break badly,stressed
can't think straight,stressed
so much pressure,stressed
overwhelmed with everything,stressed
at my breaking point,stressed
need to decompress,stressed
feeling worried,stressed
nervous about the test,stressed
hands are shaking,stressed
hope I don't mess up,stressed
this is scary,stressed
hate public speaking,stressed
not sure I'm ready,stressed
what if it goes wrong,stressed
feeling really nervous,stressed
can't stop thinking,stressed
having second thoughts,stressed
confidence is shaking,stressed
this sucks,stressed
really appreciate today,grateful
so lucky right now,grateful
feeling blessed,grateful
that meant a lot,grateful
can't thank you enough,grateful
grateful for small things,grateful
thankful for this chance,grateful
life's been kind,grateful
appreciate the support,grateful
blessed beyond measure,grateful
hey,neutral
what's the plan today,neutral
let's grab coffee,neutral
running a bit late,neutral
stuck in traffic,neutral
hello,neutral
let me know when you're free,neutral
just another day,neutral
nothing much happening,neutral
how's your day,neutral
